Loss/Val,epoch,step
0.00042603356996551156,0,12698
0.00022016596631146967,1,25397
0.00016296432295348495,2,38096
0.00016908459656406194,3,50795
0.000162501324666664,4,63494
0.0001854274742072448,5,76193
0.00017032808682415634,6,88892
0.00015333096962422132,7,101591
0.00020403195230755955,8,114290
0.00015951422392390668,9,126989
0.0001491345465183258,10,139688
0.00017333953292109072,11,152387
0.0001813381095416844,12,165086
0.00015412928769364953,13,177785
0.00014588031626772135,14,190484
0.00016366527415812016,15,203183
0.0001581394753884524,16,215882
0.00015687700943090022,17,228581
0.00015733555483166128,18,241280
0.0001516760530648753,19,253979
0.00014640147855971009,20,266678
0.00015388727479148656,21,279377
0.00015447204350493848,22,292076
0.0001501757651567459,23,304775
0.00015607279783580452,24,317474
