Loss/Val,epoch,step
0.001550086191855371,0,2657
0.0007030675187706947,1,5315
0.0004414486465975642,2,7973
0.0003319667303003371,3,10631
0.0002887039736378938,4,13289
0.000252066005486995,5,15947
0.00028871241374872625,6,18605
0.0002445513382554054,7,21263
0.00024096599372569472,8,23921
0.0001985525741474703,9,26579
0.00017898439546115696,10,29237
0.0001946933480212465,11,31895
0.0001786670763976872,12,34553
0.00016450550174340606,13,37211
0.00017247538198716938,14,39869
0.00018193172581959516,15,42527
0.0001607750018592924,16,45185
0.00014789188571739942,17,47843
0.000146162899909541,18,50501
0.00015274918405339122,19,53159
0.0001445393281755969,20,55817
0.00014669203665107489,21,58475
0.0001498434430686757,22,61133
0.00014180615835357457,23,63791
0.0001452191499993205,24,66449
0.0001462080836063251,25,69107
0.00014275818830356002,26,71765
0.00014669144002255052,27,74423
0.00014433467003982514,28,77081
0.0001680825080256909,29,79739
0.00013960502110421658,30,82397
0.00014249785454012454,31,85055
0.00014159877900965512,32,87713
0.00013821001630276442,33,90371
0.0001388957171002403,34,93029
0.00013959596981294453,35,95687
0.00014060063404031098,36,98345
0.00013862442574463785,37,101003
0.00013837790174875408,38,103661
0.00013713844236917794,39,106319
0.0001382397167617455,40,108977
0.0001348110963590443,41,111635
0.0001395051513100043,42,114293
0.00013837384176440537,43,116951
0.00014147533511277288,44,119609
0.00013855233555659652,45,122267
0.00013889830734115094,46,124925
0.00014086235023569316,47,127583
0.00014328182442113757,48,130241
0.00014332546561490744,49,132899
0.00013721523282583803,50,135557
0.00013971509179100394,51,138215
0.0001404096110491082,52,140873
0.0001363114279229194,53,143531
0.00013547697744797915,54,146189
0.00013513094745576382,55,148847
0.00013844555360265076,56,151505
0.0001365464268019423,57,154163
0.00013804860645905137,58,156821
0.00013786162890028208,59,159479
0.00013685123121831566,60,162137
0.00013771014346275479,61,164795
