Loss/Val,epoch,step
0.023540781810879707,0,1181
0.005110017955303192,1,2363
0.0019441675394773483,2,3545
0.0016740469727665186,3,4727
0.0008094998775050044,4,5909
0.000896487501449883,5,7091
0.000535915547516197,6,8273
0.0004565836279653013,7,9455
0.0003638514899648726,8,10637
0.00045255557051859796,9,11819
0.00044006164534948766,10,13001
0.0002816792402882129,11,14183
0.00037818148848600686,12,15365
0.0002540913119446486,13,16547
0.00023878329375293106,14,17729
0.00022752376389689744,15,18911
0.0002460961404722184,16,20093
0.0002757552720140666,17,21275
0.0002153801906388253,18,22457
0.00019713520305231214,19,23639
0.00019466259982436895,20,24821
0.00018678372725844383,21,26003
0.00020744504581671208,22,27185
0.0002318393235327676,23,28367
0.00019460068142507225,24,29549
0.0001834032591432333,25,30731
0.00019089208217337728,26,31913
0.00017728429520502687,27,33095
0.00018463061132933944,28,34277
0.00017830904107540846,29,35459
0.0002492066705599427,30,36641
0.00017803847731556743,31,37823
0.00017451155872549862,32,39005
0.0002060455735772848,33,40187
0.00017295563884545118,34,41369
0.0001700348366284743,35,42551
0.00018932693637907505,36,43733
0.00016875435539986938,37,44915
0.0001699380372883752,38,46097
0.00018138132872991264,39,47279
0.0001656445674598217,40,48461
0.00015863246517255902,41,49643
0.00016322403098456562,42,50825
0.0001665161398705095,43,52007
0.00015592823910992593,44,53189
0.0001587077567819506,45,54371
0.00015569094102829695,46,55553
0.0001569506130181253,47,56735
0.00015722349053248763,48,57917
0.00015804945724084973,49,59099
0.00015129534585867077,50,60281
0.00016544472600799054,51,61463
0.00016949688142631203,52,62645
0.00017002953973133117,53,63827
0.00022712210193276405,54,65009
0.00016960727225523442,55,66191
0.00017999358533415943,56,67373
0.00016320939175784588,57,68555
0.00017044517153408378,58,69737
0.00015699306095484644,59,70919
0.00016580444935243577,60,72101
0.00016374319966416806,61,73283
0.0001551205205032602,62,74465
0.0001551523746456951,63,75647
0.00016017766029108316,64,76829
0.00015514175174757838,65,78011
0.00015692505985498428,66,79193
0.0001571869506733492,67,80375
0.0001558556396048516,68,81557
0.00015903060557320714,69,82739
0.00015559808525722474,70,83921
