Loss/Val,epoch,step
0.008097064681351185,0,10331
0.0011101491982117295,1,20663
0.0039531514048576355,2,30995
0.009588683024048805,3,41327
0.0009610269917175174,4,51659
0.0008751809364184737,5,61991
12122.833984375,6,72323
0.013186432421207428,7,82655
0.0023547939490526915,8,92987
0.008189057931303978,9,103319
0.0015193119179457426,10,113651
0.0012084649642929435,11,123983
0.0013765986077487469,12,134315
0.0033221670892089605,13,144647
0.0027806656435132027,14,154979
0.0012998401653021574,15,165311
