epoch,Loss/Val,step
0,0.0027306866832077503,1181
1,0.0013539001811295748,2363
2,0.0005708228563889861,3545
3,0.0010040112538263202,4727
4,0.0005470889154821634,5909
5,0.002743946388363838,7091
6,0.0008510785410180688,8273
7,0.0009642381919547915,9455
8,0.0004877532192040235,10637
9,0.0005444365669973195,11819
10,0.0007440324407070875,13001
11,0.002030887408182025,14183
12,0.00026824497035704553,15365
13,0.0005240777391009033,16547
14,0.000412837223848328,17729
15,0.00035212349030189216,18911
16,0.0003738562809303403,20093
17,0.0002330641873413697,21275
18,0.0007014202419668436,22457
19,0.00045820270315743983,23639
20,0.0003836394171230495,24821
21,0.0005563860759139061,26003
22,0.0005973106017336249,27185
23,0.0003728599986061454,28367
24,0.0002752667060121894,29549
25,0.0002525587333366275,30731
26,0.0006554017891176045,31913
27,0.00033840074320323765,33095
28,0.0011009913869202137,34277
29,0.00014413439203053713,35459
30,0.00015054337563924491,36641
31,0.0001421496126567945,37823
32,0.0001478124177083373,39005
33,0.00015999804600141943,40187
34,0.00015286824782378972,41369
35,0.0001488043781137094,42551
36,0.00016720125859137625,43733
37,0.00015551323303952813,44915
38,0.00015356496442109346,46097
39,0.0001613676140550524,47279
40,0.0001698395935818553,48461
41,0.0001821972255129367,49643
42,0.00015289329166989774,50825
43,0.00018343325064051896,52007
44,0.00015813430945854634,53189
45,0.00016957102343440056,54371
46,0.0001513234165031463,55553
47,0.0001424317160854116,56735
48,0.00014252771507017314,57917
49,0.000140395961352624,59099
